Date,Open,High,Low,Close
06/16/2021,34308.48,34333.25,33917.11,34033.67
06/15/2021,34397.10,34420.38,34199.16,34299.33
06/14/2021,34472.52,34472.52,34211.54,34393.75
06/11/2021,34499.81,34618.09,34328.65,34479.60
06/10/2021,34502.51,34737.79,34447.25,34466.24
06/09/2021,34626.16,34654.67,34439.37,34447.14
06/08/2021,34645.84,34665.38,34452.94,34599.82
06/07/2021,34766.20,34820.91,34574.51,34630.24
06/04/2021,34618.69,34772.12,34618.69,34756.39
06/03/2021,34550.31,34667.41,34334.41,34577.04
06/02/2021,34614.62,34706.65,34545.96,34600.38
06/01/2021,34584.19,34849.32,34542.87,34575.31
05/28/2021,34558.50,34631.11,34520.09,34529.45
05/27/2021,34432.47,34608.82,34389.24,34464.64
05/26/2021,34336.34,34409.59,34271.44,34323.05
05/25/2021,34428.66,34511.35,34266.03,34312.46
05/24/2021,34253.87,34472.51,34253.87,34393.98
05/21/2021,34121.91,34415.48,34121.91,34207.84
05/20/2021,33906.30,34233.40,33872.41,34084.15
05/19/2021,33945.81,33945.81,33473.80,33896.04
05/18/2021,34351.18,34408.99,34044.10,34060.66
05/17/2021,34375.29,34383.84,34176.65,34327.79
05/14/2021,34050.86,34454.05,34050.86,34382.13
05/13/2021,33624.74,34181.77,33623.49,34021.45
05/12/2021,34206.40,34207.87,33555.22,33587.66
05/11/2021,34572.74,34572.74,34075.31,34269.16
05/10/2021,34785.27,35091.56,34741.57,34742.82
05/07/2021,34578.27,34811.39,34464.31,34777.76
05/06/2021,34245.11,34561.29,34185.06,34548.53
05/05/2021,34163.99,34331.20,34039.66,34230.34
05/04/2021,34080.20,34147.78,33765.68,34133.03
05/03/2021,33904.89,34221.06,33904.89,34113.23
04/30/2021,33988.75,33988.75,33784.96,33874.85
04/29/2021,33855.64,34087.21,33744.28,34060.36
04/28/2021,33860.46,33946.60,33805.56,33820.38
04/27/2021,33932.13,34043.98,33870.46,33984.93
04/26/2021,34044.23,34148.94,33941.37,33981.57
04/23/2021,33804.52,34157.57,33713.29,34043.49
04/22/2021,34109.88,34126.57,33717.19,33815.90
04/21/2021,33808.30,34160.34,33773.80,34137.31
04/20/2021,34034.18,34034.18,33687.01,33821.30
04/19/2021,34182.38,34182.38,33980.56,34077.63
04/16/2021,34058.16,34256.75,34058.16,34200.67
04/15/2021,33788.53,34068.73,33788.53,34035.99
04/14/2021,33668.95,33911.25,33668.95,33730.89
04/13/2021,33721.16,33741.64,33545.84,33677.27
04/12/2021,33775.06,33786.19,33665.54,33745.40
04/09/2021,33526.19,33810.87,33526.19,33800.60
04/08/2021,33469.89,33506.80,33342.64,33503.57
04/07/2021,33444.98,33521.76,33347.96,33446.26
04/06/2021,33500.02,33544.79,33380.43,33430.24
04/05/2021,33222.38,33617.95,33222.38,33527.19
04/01/2021,33054.58,33167.17,32985.35,33153.21
03/31/2021,33116.04,33173.77,32980.57,32981.55
03/30/2021,33127.88,33170.93,32988.92,33066.96
03/29/2021,33087.55,33259.00,32905.13,33171.37
03/26/2021,32681.07,33098.83,32681.07,33072.88
03/25/2021,32346.81,32672.69,32071.41,32619.48
03/24/2021,32470.88,32787.99,32418.15,32420.06
03/23/2021,32691.50,32753.77,32356.28,32423.15
03/22/2021,32601.82,32810.35,32512.53,32731.20
03/19/2021,32858.36,32858.36,32505.07,32627.97
03/18/2021,32928.16,33227.78,32831.25,32862.30
03/17/2021,32825.52,33047.58,32782.18,33015.37
03/16/2021,32966.75,32966.75,32778.23,32825.95
03/15/2021,32798.84,32973.40,32629.75,32953.46
03/12/2021,32462.40,32793.32,32462.40,32778.64
03/11/2021,32354.50,32661.59,32345.70,32485.59
03/10/2021,31906.96,32389.50,31906.96,32297.02
03/09/2021,31892.35,32150.32,31822.64,31832.74
03/08/2021,31512.15,32148.04,31512.15,31802.44
03/05/2021,31029.18,31580.33,30766.81,31496.30
03/04/2021,31289.01,31461.97,30547.53,30924.14
03/03/2021,31352.96,31563.31,31260.14,31270.09
03/02/2021,31535.37,31623.27,31377.16,31391.52
03/01/2021,31065.90,31668.34,31065.90,31535.51
02/26/2021,31401.29,31450.89,30911.37,30932.37
02/25/2021,31955.94,31984.77,31293.32,31402.01
02/24/2021,31499.75,32009.64,31421.29,31961.86
02/23/2021,31501.89,31653.38,31158.76,31537.35
02/22/2021,31381.12,31653.48,31286.57,31521.69
02/19/2021,31504.13,31647.53,31469.34,31494.32
02/18/2021,31558.60,31558.60,31285.32,31493.34
02/17/2021,31485.61,31643.70,31338.76,31613.02
02/16/2021,31472.08,31608.63,31443.48,31522.75
02/12/2021,31420.80,31475.31,31347.80,31458.40
02/11/2021,31466.49,31543.82,31244.36,31430.70
02/10/2021,31428.02,31511.44,31221.32,31437.80
02/09/2021,31359.88,31439.47,31245.86,31375.83
02/08/2021,31191.20,31386.10,31191.20,31385.76
02/05/2021,31093.81,31252.18,31083.22,31148.24
02/04/2021,30737.78,31065.96,30737.78,31055.86
02/03/2021,30689.65,30793.41,30521.31,30723.60
02/02/2021,30276.88,30840.54,30276.88,30687.48
02/01/2021,30054.73,30335.91,30014.97,30211.91
01/29/2021,30553.91,30553.91,29856.30,29982.62
01/28/2021,30377.19,30951.41,30377.19,30603.36
01/27/2021,30893.78,30893.78,30206.91,30303.17
01/26/2021,30968.55,31121.42,30921.71,30937.04
01/25/2021,30989.85,30989.85,30564.06,30960.00
01/22/2021,31141.56,31141.56,30908.47,30996.98
01/21/2021,31198.01,31272.22,31120.92,31176.01
01/20/2021,31017.54,31235.98,30997.79,31188.38
01/19/2021,30887.42,31086.62,30865.03,30930.52
01/15/2021,30926.77,30941.98,30612.67,30814.26
01/14/2021,31085.67,31223.78,30982.24,30991.52
01/13/2021,31084.88,31153.37,30992.05,31060.47
01/12/2021,31015.01,31114.56,30888.76,31068.69
01/11/2021,31015.37,31096.98,30832.06,31008.69
01/08/2021,31069.58,31140.67,30793.27,31097.97
01/07/2021,30901.18,31193.40,30897.86,31041.13
01/06/2021,30362.78,31022.65,30313.07,30829.40
01/05/2021,30204.25,30504.89,30141.78,30391.60
01/04/2021,30627.47,30674.28,29881.82,30223.89
12/31/2020,30417.64,30637.47,30344.50,30606.48
12/30/2020,30415.09,30525.35,30393.04,30409.56
12/29/2020,30492.07,30588.79,30274.24,30335.67
12/28/2020,30283.23,30525.56,30283.23,30403.97
12/24/2020,30155.92,30209.67,30099.30,30199.87
12/23/2020,30046.73,30292.53,30046.73,30129.83
12/22/2020,30200.20,30200.20,29992.89,30015.51
12/21/2020,30159.00,30304.14,29755.53,30216.45
12/18/2020,30314.26,30343.59,30029.44,30179.05
12/17/2020,30216.00,30323.78,30216.00,30303.37
12/16/2020,30191.38,30236.03,30080.11,30154.54
12/15/2020,29919.09,30243.26,29894.95,30199.31
12/14/2020,30123.91,30325.79,29849.15,29861.55
12/11/2020,29988.21,30071.13,29820.84,30046.37
12/10/2020,30032.55,30063.87,29876.82,29999.26
12/09/2020,30229.81,30319.70,29951.85,30068.81
12/08/2020,29997.95,30246.22,29972.07,30173.88
12/07/2020,30233.03,30233.03,29967.22,30069.79
12/04/2020,29989.56,30218.26,29989.56,30218.26
12/03/2020,29920.83,30110.88,29877.27,29969.52
12/02/2020,29695.09,29902.51,29599.29,29883.79
12/01/2020,29797.50,30083.31,29797.50,29823.92
11/30/2020,29854.51,29854.51,29463.64,29638.64
11/27/2020,29911.33,30015.13,29819.98,29910.37
11/25/2020,30058.87,30058.87,29806.25,29872.47
11/24/2020,29746.11,30116.51,29746.11,30046.24
11/23/2020,29332.82,29667.75,29332.82,29591.27
11/20/2020,29437.57,29469.89,29231.20,29263.48
11/19/2020,29370.92,29524.90,29228.38,29483.23
11/18/2020,29875.40,29930.85,29432.84,29438.42
11/17/2020,29800.15,29872.42,29520.29,29783.35
11/16/2020,29672.36,29964.29,29672.36,29950.44
11/13/2020,29203.90,29559.25,29203.90,29479.81
11/12/2020,29231.91,29311.83,28902.13,29080.17
11/11/2020,29524.35,29593.11,29281.22,29397.63
11/10/2020,29254.17,29478.86,29126.99,29420.92
11/09/2020,29467.90,29933.83,29130.66,29157.97
11/06/2020,28399.13,28431.96,28189.50,28323.40
11/05/2020,28083.37,28495.05,28083.37,28390.18
11/04/2020,27512.83,28301.50,27512.83,27847.66
11/03/2020,27138.69,27640.21,27138.69,27480.03
11/02/2020,26691.28,27043.48,26691.28,26925.05
10/30/2020,26572.27,26639.18,26143.77,26501.60
10/29/2020,26480.98,26891.89,26290.78,26659.11
10/28/2020,27102.14,27102.14,26497.39,26519.95
10/27/2020,27651.18,27707.69,27457.96,27463.19
10/26/2020,28185.82,28185.82,27370.16,27685.38
10/23/2020,28409.65,28436.52,28149.82,28335.57
10/22/2020,28197.42,28421.31,28040.18,28363.66
10/21/2020,28270.66,28450.64,28196.39,28210.82
10/20/2020,28245.85,28575.03,28243.04,28308.79
10/19/2020,28633.55,28711.93,28139.40,28195.42
10/16/2020,28570.72,28842.90,28570.72,28606.31
10/15/2020,28323.40,28535.85,28181.54,28494.20
10/14/2020,28731.30,28792.56,28461.73,28514.00
10/13/2020,28764.95,28808.84,28604.35,28679.81
10/12/2020,28671.12,28957.90,28659.67,28837.52
10/09/2020,28533.61,28676.29,28440.63,28586.90
10/08/2020,28348.86,28459.13,28265.56,28425.51
10/07/2020,27971.36,28369.66,27971.36,28303.46
10/06/2020,28214.24,28354.48,27728.03,27772.76
10/05/2020,27825.42,28162.64,27825.42,28148.64
10/02/2020,27536.39,27861.43,27382.94,27682.81
10/01/2020,27940.63,28041.46,27669.26,27816.90
09/30/2020,27514.64,28026.33,27511.06,27781.70
09/29/2020,27560.24,27605.60,27338.09,27452.66
09/28/2020,27362.14,27722.60,27362.14,27584.06
09/25/2020,26694.51,27239.29,26635.38,27173.96
09/24/2020,26716.09,27094.85,26537.01,26815.44
09/23/2020,27413.60,27464.46,26716.12,26763.13
09/22/2020,27170.34,27333.09,26989.93,27288.18
09/21/2020,27484.71,27484.71,26715.15,27147.70
09/18/2020,27864.87,27946.69,27487.97,27657.42
09/17/2020,27834.18,28056.79,27647.93,27901.98
09/16/2020,28031.69,28364.77,28021.67,28032.38
09/15/2020,28139.76,28231.06,27931.45,27995.60
09/14/2020,27718.74,28086.06,27718.74,27993.33
09/11/2020,27613.86,27828.82,27448.15,27665.64
09/10/2020,28022.51,28174.78,27447.08,27534.58
09/09/2020,27711.71,28206.21,27704.54,27940.47
09/08/2020,27925.23,27925.23,27464.90,27500.89
09/04/2020,28341.05,28539.75,27664.68,28133.31
09/03/2020,29090.70,29199.35,28074.76,28292.73
09/02/2020,28736.79,29162.88,28713.53,29100.50
09/01/2020,28439.61,28659.26,28290.72,28645.66
08/31/2020,28643.66,28643.66,28363.55,28430.05
08/28/2020,28601.29,28733.35,28487.98,28653.87
08/27/2020,28384.07,28634.22,28363.93,28492.27
08/26/2020,28257.88,28353.80,28153.91,28331.92
08/25/2020,28347.42,28400.74,28094.57,28248.44
08/24/2020,28077.58,28314.94,28041.75,28308.46
08/21/2020,27758.13,27959.48,27686.78,27930.33
08/20/2020,27622.68,27781.46,27526.25,27739.73
08/19/2020,27811.26,27920.42,27647.67,27692.88
08/18/2020,27853.48,27891.12,27668.79,27778.07
08/17/2020,27970.05,27999.81,27816.40,27844.91
08/14/2020,27828.93,27977.81,27759.39,27931.02
08/13/2020,27922.51,27986.10,27789.78,27896.72
08/12/2020,27860.24,28043.89,27843.32,27976.84
08/11/2020,27961.64,28154.88,27624.51,27686.91
08/10/2020,27488.21,27803.86,27488.21,27791.44
08/07/2020,27321.68,27456.24,27223.55,27433.48
08/06/2020,27170.82,27394.10,27145.25,27386.98
08/05/2020,26924.78,27221.67,26924.78,27201.52
08/04/2020,26664.61,26832.72,26597.82,26828.47
08/03/2020,26542.32,26707.26,26534.38,26664.40
07/31/2020,26409.33,26440.02,26013.59,26428.32
07/30/2020,26367.42,26374.93,25992.28,26313.65
07/29/2020,26388.44,26602.45,26375.39,26539.57
07/28/2020,26529.45,26556.84,26361.71,26379.28
07/27/2020,26447.67,26625.46,26426.92,26584.77
07/24/2020,26533.41,26625.70,26402.86,26469.89
07/23/2020,26955.97,26973.85,26560.04,26652.33
07/22/2020,26824.56,27035.24,26794.19,27005.84
07/21/2020,26833.14,27025.38,26766.22,26840.40
07/20/2020,26660.29,26765.02,26504.20,26680.87
07/17/2020,26774.62,26808.43,26619.88,26671.95
07/16/2020,26746.57,26879.16,26590.01,26734.71
07/15/2020,27009.81,27071.33,26692.48,26870.10
07/14/2020,26044.17,26690.52,25994.98,26642.59
07/13/2020,26225.07,26639.09,26044.23,26085.80
07/10/2020,25690.35,26101.32,25637.50,26075.30
07/09/2020,26094.92,26103.28,25523.51,25706.09
07/08/2020,25950.06,26109.49,25816.25,26067.28
07/07/2020,26172.01,26174.93,25866.58,25890.18
07/06/2020,25996.08,26297.53,25996.08,26287.03
07/02/2020,25936.45,26204.41,25778.12,25827.36
07/01/2020,25879.38,26019.31,25713.61,25734.97
06/30/2020,25512.43,25905.38,25475.14,25812.88
06/29/2020,25152.45,25601.15,25096.16,25595.80
06/26/2020,25641.69,25641.69,24971.03,25015.55
06/25/2020,25365.22,25769.61,25209.79,25745.60
06/24/2020,25992.96,25992.96,25296.73,25445.94
06/23/2020,26159.39,26314.97,26105.97,26156.10
06/22/2020,25865.08,26059.81,25667.68,26024.96
06/19/2020,26213.10,26451.44,25759.66,25871.46
06/18/2020,26016.45,26154.20,25848.53,26080.10
06/17/2020,26330.52,26400.07,26068.41,26119.61
06/16/2020,26326.68,26611.03,25811.70,26289.98
06/15/2020,25270.39,25891.58,24843.18,25763.16
06/12/2020,25659.42,25965.55,25078.41,25605.54
06/11/2020,26282.51,26294.08,25082.72,25128.17
06/10/2020,27251.89,27355.22,26938.05,26989.99
06/09/2020,27447.37,27447.37,27151.06,27272.30
06/08/2020,27232.93,27580.21,27232.48,27572.44
06/05/2020,26836.80,27338.30,26836.80,27110.98
06/04/2020,26226.49,26384.10,26082.31,26281.82
06/03/2020,25906.88,26337.75,25906.88,26269.89
06/02/2020,25582.52,25743.13,25523.74,25742.65
06/01/2020,25342.99,25508.83,25220.66,25475.02
05/29/2020,25324.15,25482.80,25031.67,25383.11
05/28/2020,25697.36,25758.79,25358.73,25400.64
05/27/2020,25298.63,25551.56,25009.87,25548.27
05/26/2020,24781.84,25176.42,24781.84,24995.11
05/22/2020,24461.98,24481.64,24294.07,24465.16
05/21/2020,24564.27,24718.46,24370.88,24474.12
05/20/2020,24455.94,24649.48,24455.94,24575.90
05/19/2020,24577.48,24599.50,24202.96,24206.86
05/18/2020,24059.98,24708.54,24059.98,24597.37
05/15/2020,23454.83,23730.08,23354.15,23685.42
05/14/2020,23049.06,23630.86,22789.62,23625.34
05/13/2020,23702.16,23708.90,23067.64,23247.97
05/12/2020,24292.84,24382.09,23761.58,23764.78
05/11/2020,24256.45,24366.21,24070.22,24221.99
05/08/2020,24107.82,24349.90,24107.05,24331.32
05/07/2020,23837.21,24094.62,23834.39,23875.89
05/06/2020,23978.88,24054.59,23661.14,23664.64
05/05/2020,23958.88,24169.72,23868.91,23883.09
05/04/2020,23581.55,23769.56,23361.16,23749.76
05/01/2020,24120.78,24120.78,23645.30,23723.69
04/30/2020,24585.57,24585.57,24186.90,24345.72
04/29/2020,24490.37,24764.77,24453.99,24633.86
04/28/2020,24357.17,24512.24,24031.20,24101.55
04/27/2020,23866.15,24207.65,23840.61,24133.78
04/24/2020,23628.24,23826.00,23417.68,23775.27
04/23/2020,23543.09,23885.36,23483.35,23515.26
04/22/2020,23437.34,23613.10,23339.60,23475.82
04/21/2020,23365.25,23365.25,22941.88,23018.88
04/20/2020,24095.10,24108.69,23627.19,23650.44
04/17/2020,23817.15,24264.21,23817.15,24242.49
04/16/2020,23543.66,23598.08,23211.38,23537.68
04/15/2020,23600.72,23649.72,23233.32,23504.35
04/14/2020,23690.57,24040.58,23683.44,23949.76
04/13/2020,23698.93,23698.93,23095.35,23390.77
04/09/2020,23690.66,24008.99,23504.09,23719.37
04/08/2020,22893.47,23513.40,22682.99,23433.57
04/07/2020,23537.44,23617.24,22634.45,22653.86
04/06/2020,21693.63,22783.45,21693.63,22679.99
04/03/2020,21285.93,21447.81,20863.09,21052.53
04/02/2020,20819.46,21477.77,20735.02,21413.44
04/01/2020,21227.38,21487.24,20784.43,20943.51
03/31/2020,22208.42,22480.37,21852.08,21917.16
03/30/2020,21678.22,22378.09,21522.08,22327.48
03/27/2020,21898.47,22327.57,21469.27,21636.78
03/26/2020,21468.38,22595.06,21427.10,22552.17
03/25/2020,21050.34,22019.93,20538.34,21200.55
03/24/2020,19722.19,20737.70,19649.25,20704.91
03/23/2020,19028.36,19121.01,18213.65,18591.93
03/20/2020,20253.15,20531.26,19094.27,19173.98
03/19/2020,19830.01,20442.63,19177.13,20087.19
03/18/2020,20188.69,20489.33,18917.46,19898.92
03/17/2020,20487.05,21379.35,19882.26,21237.38
03/16/2020,20917.53,21768.28,20116.46,20188.52
03/13/2020,21973.82,23189.76,21285.37,23185.62
03/12/2020,22184.71,22837.95,21154.46,21200.62
03/11/2020,24604.63,24604.63,23328.32,23553.22
03/10/2020,24453.00,25020.99,23690.34,25018.16
03/09/2020,24992.36,24992.36,23706.07,23851.02
03/06/2020,25457.21,25994.38,25226.62,25864.78
03/05/2020,26671.92,26671.92,25943.33,26121.28
03/04/2020,26383.68,27102.34,26286.31,27090.86
03/03/2020,26762.47,27084.59,25706.28,25917.41
03/02/2020,25590.51,26706.17,25391.96,26703.32
02/28/2020,25270.83,25494.24,24681.01,25409.36
02/27/2020,26526.00,26775.31,25752.82,25766.64
02/26/2020,27159.46,27542.78,26890.97,26957.59
02/25/2020,28037.65,28149.20,26997.62,27081.36
02/24/2020,28402.93,28402.93,27912.44,27960.80
02/21/2020,29146.53,29146.53,28892.70,28992.41
02/20/2020,29296.25,29368.45,28959.65,29219.98
02/19/2020,29312.70,29409.09,29274.38,29348.03
02/18/2020,29282.78,29330.16,29116.81,29232.19
02/14/2020,29440.47,29463.04,29283.18,29398.08
02/13/2020,29436.03,29535.40,29345.93,29423.31
02/12/2020,29406.75,29568.57,29406.75,29551.42
02/11/2020,29390.71,29415.39,29210.47,29276.34
02/10/2020,28995.66,29278.07,28995.66,29276.82
02/07/2020,29286.92,29286.92,29056.98,29102.51
02/06/2020,29388.58,29408.05,29246.93,29379.77
02/05/2020,29048.73,29308.89,29000.85,29290.85
02/04/2020,28696.74,28904.88,28696.74,28807.63
02/03/2020,28319.65,28630.39,28319.65,28399.81
01/31/2020,28813.04,28813.04,28169.53,28256.03
01/30/2020,28640.16,28879.71,28489.76,28859.44
01/29/2020,28820.53,28944.24,28728.19,28734.45
01/28/2020,28594.28,28823.23,28575.75,28722.85
01/27/2020,28542.49,28671.79,28440.47,28535.80
01/24/2020,29230.39,29288.79,28843.31,28989.73
01/23/2020,29111.02,29190.47,28966.98,29160.09
01/22/2020,29263.63,29320.20,29172.26,29186.27
01/21/2020,29269.05,29341.21,29146.47,29196.04
01/17/2020,29313.31,29373.62,29289.91,29348.10
01/16/2020,29131.95,29300.32,29131.95,29297.64
01/15/2020,28901.80,29127.59,28897.35,29030.22
01/14/2020,28895.50,29054.16,28872.27,28939.67
01/13/2020,28869.01,28909.91,28819.43,28907.05
01/10/2020,28977.52,29009.07,28789.10,28823.77
01/09/2020,28851.97,28988.01,28844.31,28956.90
01/08/2020,28556.14,28866.18,28522.51,28745.09
01/07/2020,28639.18,28685.50,28565.28,28583.68
01/06/2020,28465.50,28708.02,28418.63,28703.38
01/03/2020,28553.33,28716.31,28500.36,28634.88
01/02/2020,28638.97,28872.80,28627.77,28868.80
12/31/2019,28414.64,28547.35,28376.49,28538.44
12/30/2019,28654.76,28664.69,28428.98,28462.14
12/27/2019,28675.34,28701.66,28608.98,28645.26
12/26/2019,28539.46,28624.10,28535.15,28621.39
12/24/2019,28572.57,28576.80,28503.21,28515.45
12/23/2019,28491.78,28582.49,28491.78,28551.53
12/20/2019,28608.64,28608.64,28445.60,28455.09
12/19/2019,28278.31,28381.48,28278.24,28376.96
12/18/2019,28291.44,28323.25,28239.28,28239.28
12/17/2019,28221.75,28328.63,28220.56,28267.16
12/16/2019,28191.67,28337.49,28191.67,28235.89
12/13/2019,28123.64,28290.73,28028.32,28135.38
12/12/2019,27898.34,28224.95,27859.87,28132.05
12/11/2019,27867.31,27925.50,27801.80,27911.30
12/10/2019,27900.65,27949.02,27804.00,27881.72
12/09/2019,27987.05,28010.42,27906.14,27909.60
12/06/2019,27839.68,28035.85,27839.68,28015.06
12/05/2019,27736.05,27745.20,27562.80,27677.79
12/04/2019,27634.63,27727.45,27612.08,27649.78
12/03/2019,27501.98,27524.74,27325.13,27502.81
12/02/2019,28109.74,28109.84,27782.35,27783.04
11/29/2019,28103.16,28119.51,28042.53,28051.41
11/27/2019,28156.47,28174.97,28075.23,28164.00
11/26/2019,28080.75,28146.02,28042.21,28121.68
11/25/2019,27917.77,28068.69,27917.77,28066.47
11/22/2019,27831.23,27898.46,27773.98,27875.62
11/21/2019,27820.28,27828.33,27708.34,27766.29
11/20/2019,27879.55,27897.28,27675.28,27821.09
11/19/2019,28079.76,28090.21,27894.52,27934.02
11/18/2019,27993.22,28040.97,27969.24,28036.22
11/15/2019,27843.54,28004.89,27843.54,28004.89
11/14/2019,27757.20,27800.71,27676.97,27781.96
11/13/2019,27622.04,27806.40,27587.20,27783.59
11/12/2019,27701.59,27770.86,27635.32,27691.49
11/11/2019,27580.66,27714.39,27517.67,27691.49
11/08/2019,27686.20,27694.95,27578.97,27681.24
11/07/2019,27590.16,27774.67,27590.16,27674.80
11/06/2019,27502.74,27526.05,27407.81,27492.56
11/05/2019,27500.23,27560.36,27453.55,27492.63
11/04/2019,27402.06,27517.58,27402.06,27462.11
11/01/2019,27142.95,27347.43,27142.95,27347.36
10/31/2019,27188.37,27188.37,26918.29,27046.23
10/30/2019,27110.71,27204.36,26999.64,27186.69
10/29/2019,27061.07,27165.94,27039.76,27071.42
10/28/2019,27040.33,27167.88,27028.71,27090.72
10/25/2019,26789.61,27015.37,26765.68,26958.06
10/24/2019,26893.93,26931.78,26714.34,26805.53
10/23/2019,26835.24,26896.89,26745.00,26833.95
10/22/2019,26850.43,26946.64,26782.61,26788.10
10/21/2019,26852.67,26852.67,26747.62,26827.64
10/18/2019,27004.49,27018.25,26770.13,26770.20
10/17/2019,27032.38,27112.16,26970.29,27025.88
10/16/2019,26972.31,27058.34,26943.29,27001.98
10/15/2019,26811.20,27120.11,26811.20,27024.80
10/14/2019,26766.43,26874.33,26749.18,26787.36
10/11/2019,26694.20,27013.97,26694.20,26816.59
10/10/2019,26317.35,26603.31,26314.51,26496.67
10/09/2019,26308.23,26424.31,26249.75,26346.01
10/08/2019,26276.59,26421.81,26139.80,26164.04
10/07/2019,26502.33,26655.84,26424.54,26478.02
10/04/2019,26271.70,26590.74,26271.70,26573.72
10/03/2019,26039.02,26205.20,25743.46,26201.04
10/02/2019,26425.86,26438.04,25974.12,26078.62
10/01/2019,26962.54,27046.21,26562.22,26573.04
09/30/2019,26852.33,26998.86,26852.33,26916.83
09/27/2019,26987.26,27012.54,26715.82,26820.25
09/26/2019,27004.11,27015.07,26803.84,26891.12
09/25/2019,26866.71,27016.56,26755.86,26970.71
09/24/2019,27034.07,27079.68,26704.96,26807.77
09/23/2019,26851.45,27011.07,26831.34,26949.99
09/20/2019,27102.18,27194.75,26926.68,26935.07
09/19/2019,27186.05,27272.17,27064.21,27094.79
09/18/2019,27075.39,27161.93,26899.15,27147.08
09/17/2019,27010.12,27110.80,26984.14,27110.80
09/16/2019,27146.06,27172.87,27032.56,27076.82
09/13/2019,27216.67,27277.55,27193.95,27219.52
09/12/2019,27197.32,27306.73,27105.01,27182.45
09/11/2019,26928.05,27137.04,26885.48,27137.04
09/10/2019,26805.83,26909.43,26717.05,26909.43
09/09/2019,26866.23,26900.83,26762.18,26835.51
09/06/2019,26790.25,26860.87,26708.39,26797.46
09/05/2019,26603.15,26836.30,26603.15,26728.15
09/04/2019,26301.99,26362.35,26244.44,26355.47
09/03/2019,26198.26,26198.26,25978.22,26118.02
08/30/2019,26476.39,26514.62,26295.59,26403.28
08/29/2019,26249.09,26408.84,26185.71,26362.25
08/28/2019,25712.99,26041.57,25637.43,26036.10
08/27/2019,26014.46,26054.02,25721.85,25777.90
08/26/2019,25826.05,25941.25,25716.39,25898.83
08/23/2019,26134.21,26320.29,25507.18,25628.90
08/22/2019,26271.64,26388.78,26099.01,26252.24
08/21/2019,26145.36,26268.32,26141.77,26202.73
08/20/2019,26086.86,26160.12,25952.00,25962.44
08/19/2019,26020.06,26222.32,26020.06,26135.79
08/16/2019,25678.17,25929.65,25678.17,25886.01
08/15/2019,25514.25,25639.69,25339.60,25579.39
08/14/2019,26035.08,26035.08,25471.59,25479.42
08/13/2019,25888.88,26426.97,25833.25,26279.91
08/12/2019,26169.91,26178.95,25824.94,25907.37
08/09/2019,26337.09,26413.36,26097.64,26287.44
08/08/2019,26086.52,26383.61,26038.10,26378.19
08/07/2019,25814.22,26073.21,25440.39,26007.07
08/06/2019,25810.62,26038.68,25710.87,26029.52
08/05/2019,26259.23,26259.23,25523.38,25717.74
08/02/2019,26528.66,26570.02,26249.22,26485.01
08/01/2019,26879.86,27175.59,26548.71,26583.42
07/31/2019,27244.67,27281.65,26719.60,26864.27
07/30/2019,27145.39,27224.36,27069.86,27198.02
07/29/2019,27192.24,27275.85,27178.06,27221.35
07/26/2019,27166.00,27213.70,27123.25,27192.45
07/25/2019,27247.39,27298.43,27062.48,27140.98
07/24/2019,27262.24,27291.04,27191.12,27269.97
07/23/2019,27231.86,27368.81,27204.58,27349.19
07/22/2019,27174.18,27227.77,27088.90,27171.90
07/19/2019,27246.38,27342.96,27145.78,27154.20
07/18/2019,27191.98,27266.81,27068.79,27222.97
07/17/2019,27320.91,27343.06,27218.38,27219.85
07/16/2019,27349.32,27398.68,27290.24,27335.63
07/15/2019,27364.69,27364.69,27294.17,27359.16
07/12/2019,27139.49,27333.79,27135.45,27332.03
07/11/2019,26950.16,27088.45,26916.32,27088.08
07/10/2019,26851.96,26983.45,26813.11,26860.20
07/09/2019,26725.12,26807.70,26665.57,26783.49
07/08/2019,26835.64,26839.14,26744.87,26806.14
07/05/2019,26867.75,26950.81,26733.33,26922.12
07/03/2019,26832.32,26966.00,26831.44,26966.00
07/02/2019,26719.53,26787.56,26632.65,26786.68
07/01/2019,26805.86,26890.64,26616.21,26717.43
06/28/2019,26605.93,26638.35,26522.27,26599.96
06/27/2019,26523.72,26607.24,26465.32,26526.58
06/26/2019,26599.42,26660.04,26536.33,26536.82
06/25/2019,26731.61,26752.31,26527.66,26548.22
06/24/2019,26727.61,26806.52,26723.37,26727.54
06/21/2019,26749.12,26907.37,26705.87,26719.13
06/20/2019,26665.38,26798.63,26539.69,26753.17
06/19/2019,26490.16,26569.75,26415.05,26504.00
06/18/2019,26228.88,26527.19,26227.76,26465.54
06/17/2019,26108.53,26165.78,26049.80,26112.53
06/14/2019,26076.36,26162.28,25988.09,26089.61
06/13/2019,26036.94,26146.91,25995.71,26106.77
06/12/2019,26040.30,26082.10,25958.66,26004.83
06/11/2019,26180.59,26248.67,25998.87,26048.51
06/10/2019,26090.22,26210.61,26054.31,26062.68
06/07/2019,25768.72,26072.75,25768.72,25983.94
06/06/2019,25567.45,25800.30,25518.05,25720.66
06/05/2019,25451.00,25544.66,25373.58,25539.57
06/04/2019,24962.82,25343.77,24962.82,25332.18
06/03/2019,24830.16,24935.21,24680.57,24819.78
05/31/2019,25046.31,25046.31,24809.51,24815.04
05/30/2019,25139.94,25218.54,25066.75,25169.88
05/29/2019,25231.46,25231.46,24938.24,25126.41
